file	transcript
999-social-credit-siren.mp3	[Music]
among-us-role-reveal-sound.mp3	[MUSIC]
anime-wow-sound-effect.mp3	[Screams]
applepay.mp3	[BEEP]
dun-dun-dun-sound-effect-brass_8nFBccR.mp3	[Music]
error_CDOxCYm.mp3	[MUSIC]
faaah.mp3	BAM!
indian-song.mp3	[Music]
metal-pipe-clang.mp3	(笑い声)
michael-jackson-hee-hee.mp3	*laughs*
rizz-sound-effect.mp3	[MUSIC]
romanceeeeeeeeeeeeee.mp3	[Music]
shocked-sound-effect.mp3	[Explosion]
spongebob-fail.mp3	[Music]
undertakers-bell_2UwFCIe.mp3	[Music]
wrong-answer-sound-effect.mp3	*BOOM*
